Date,Price,Open,High,Low,Vol.,Change %,moving average,EMA,EMA(12),EMA(26),MACD,K,D,R,trend,score,return
29-Aug-18,387.4,391.5,392.9,385.6,164.35K,-0.64%,375.1266667,379.4200158,386.2577409,391.5632497,-5.305508887,86.99763593,84.83770167,-86.99763593,0,0.5,-0.0064119
30-Aug-18,386.6,385.2,388.5,385.2,140.25K,-0.21%,374.94,380.3175138,383.4505233,392.1928435,-8.742320276,85.10638298,88.26423272,-85.10638298,1,0.5,-0.002065049
3-Sep-18,386.9,387,388,385.5,138.82K,0.08%,375.6266667,381.1403246,379.7567078,392.5812381,-12.82453024,85.81560284,85.97320725,-85.81560284,1,0.5,0.000775996
4-Sep-18,387.8,385.6,390.8,385.5,118.84K,0.23%,376.0733333,381.972784,377.0621194,392.7460833,-15.68396396,87.94326241,86.28841608,-87.94326241,1,0.5,0.002326182
5-Sep-18,388.4,389,390,385.8,151.73K,0.15%,377.0266667,382.776186,375.7543544,392.4528229,-16.69846847,89.36170213,87.70685579,-89.36170213,0,0.5,0.001547189
6-Sep-18,384.1,388.5,389.7,380.4,183.65K,-1.11%,378.38,382.9416628,375.6600601,391.69622,-16.03615991,79.19621749,85.50039401,-79.19621749,0,0.5,-0.011071061
9-Sep-18,380.1,384,385,378.1,160.90K,-1.04%,380.1266667,382.5864549,375.4275526,391.4091925,-15.98163992,68.31683168,78.95825043,-68.31683168,0,0.5,-0.010413955
10-Sep-18,378.9,380,382.1,378.5,190.53K,-0.32%,381.5066667,382.125648,375.4241085,391.0955435,-15.67143493,58.33333333,68.61546084,-58.33333333,1,0.5,-0.003157064
11-Sep-18,380.8,380,382,380,105.10K,0.50%,382.4533333,381.959942,375.708595,390.9836005,-15.27500556,51.40562249,59.35192917,-51.40562249,0,0.5,0.005014516
12-Sep-18,376.7,380.2,382,374,161.25K,-1.08%,382.5666667,381.3024493,376.6200206,391.1606505,-14.54062987,29.25764192,46.33219925,-29.25764192,0,0.5,-0.010766807
13-Sep-18,370.6,378,378,369.8,149.43K,-1.62%,382.3533333,379.9646431,378.280018,390.9405692,-12.66055113,3.463203463,28.04215596,-3.463203463,0,1,-0.016193257
16-Sep-18,368,373,373,366.5,92.97K,-0.70%,381.86,378.4690627,379.4200158,390.747998,-11.32798224,5.681818182,12.80088786,-5.681818182,0,0.5,-0.00701565
17-Sep-18,368,369,370,366.7,86.85K,0.00%,381.2133333,377.1604299,380.3175138,388.9794983,-8.661984462,5.681818182,4.942279942,-5.681818182,0,0,0
18-Sep-18,363.8,368.1,372.6,362.9,143.88K,-1.14%,379.9333333,375.4903762,381.1403246,387.994561,-6.854236405,3,4.787878788,-3,0,0.5,-0.011413043
19-Sep-18,361.2,364.6,365.9,360,211.30K,-0.71%,378.02,373.7040791,381.972784,386.2577409,-4.284956854,3.647416413,4.109744865,-3.647416413,0,0.5,-0.007146784
20-Sep-18,357.3,361.5,363,353.1,439.47K,-1.08%,376.0133333,371.6535692,382.776186,383.4505233,-0.674337247,11.14058355,5.929333323,-11.14058355,1,0.5,-0.010797342
